"";"mandante";"visitante";"time"
"231";"ATL";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"232";"CHA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"233";"RED";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"234";"SPO";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"235";"CEA";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"236";"GRE";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"237";"AME";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"238";"SAO";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"239";"COR";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"240";"FLU";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"241";"CUI";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"242";"JUV";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"243";"ATH";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"244";"SPO";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"245";"FOR";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"246";"INT";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"247";"ATL";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"248";"SAN";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"249";"PAL";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"250";"FLU";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"251";"COR";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"252";"CUI";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"253";"CHA";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"254";"RED";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"255";"BAH";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"256";"FOR";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"257";"INT";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"258";"ATL";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"259";"SAO";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"260";"FLA";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"261";"PAL";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"262";"FLA";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"263";"SAO";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"264";"AME";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"265";"ATL";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"266";"CHA";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"267";"ATH";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"268";"SPO";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"269";"CEA";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"270";"GRE";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"271";"INT";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"272";"ATL";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"273";"JUV";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"274";"RED";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"275";"BAH";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"276";"FOR";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"277";"ATL";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"278";"SAN";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"279";"PAL";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"280";"FLU";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"281";"AME";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"282";"SAO";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"283";"COR";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"284";"FLA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"285";"CEA";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"286";"GRE";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"287";"SPO";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"288";"ATH";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"289";"CUI";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"290";"JUV";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"291";"CHA";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"292";"ATL";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"293";"RED";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"294";"BAH";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"295";"CEA";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"296";"INT";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"297";"ATL";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"298";"SAN";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"299";"COR";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"300";"FLU";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"301";"ATH";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"302";"SPO";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
