"";"data";"hora";"natureza_acidente";"situacao";"bairro";"endereco";"numero";"detalhe_endereco_acidente";"complemento";"bairro_cruzamento";"num_semaforo";"sentido_via";"tipo";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas";"vitimasfatais";"acidente_verificado";"tempo_clima";"situacao_semaforo";"sinalizacao";"condicao_via";"conservacao_via";"ponto_controle";"situacao_placa";"velocidade_max_via";"mao_direcao";"divisao_via1";"divisao_via2";"divisao_via3"
"1718";2020-02-24;"04:32:00";"COM VÍTIMA";"FINALIZADA";"IBURA";"AV ENGENHO SERRA VERDE";"570";"AV RIO LARGO";"AO LADO DO ARMAZEM ESQUINA DA CONSTRUÇÃO";"IBURA";NA;"SUBURBIO";"COLISÃO FRONTAL";NA;"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"Esquina";"Bom";"Não existe";"Ilegível";"Seca";"Mal iluminada";"Outros";"R-24a";"";"Dupla";"Não existe";"";""
"1719";2020-02-24;"05:49:00";"SEM VÍTIMA";"CANCELADA";"IPSEP";"AV RECIFE";"2586";"";"EM FRENTE AO POSTO DE GASOLINA SHELL- SENT. BOA VIAGEM";"IPSEP";NA;"";"COLISÃO";NA;"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1720";2020-02-24;"06:53:00";"SEM VÍTIMA";"FINALIZADA";"BOA VISTA";"RUA DA AURORA";"";"RUA PRINCESA IZABEL";"POLÍCIA CIVIL PERNAMBUCO SDS";"BOA VISTA";"22";"SUBURBIO";"ABALROAMENTO LONGITUDINAL";1;"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"R-6a";"40 km/h";"Única";"Faixa contínua";"";""
"1721";2020-02-24;"08:13:00";"SEM VÍTIMA";"FINALIZADA";"SAN MARTIN";"RUA COMENDADOR JOSE VITA";"54";"";"";"SAN MARTIN";NA;"";"CHOQUE VEÍCULO PARADO";1;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Longo da via";"Nublado";"Não existe";"Não existente";"Seca";"";"Não existe";"Não há placas";"";"Dupla";"Não existe";"";""
"1722";2020-02-24;"08:55:00";"SEM VÍTIMA";"FINALIZADA";"IMBIRIBEIRA";"AV PINHEIROS";"70";"AV MARECHAL MASCARENHAS DE MORAES";"LOTERIA A IMPERIAL";"IMBIRIBEIRA";NA;"SUBURBIO";"CHOQUE VEÍCULO PARADO";1;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Longo da via";"Bom";"";"Incompleta";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Dupla";"Não existe";"";""
"1723";2020-02-24;"09:19:00";"SEM VÍTIMA";"FINALIZADA";"SANTO AMARO";"AV CRUZ CABUGA";"33";"";"AO LADO DO SEFAZ";"SANTO AMARO";"344";"CIDADE";"ABALROAMENTO LONGITUDINAL";NA;"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"R-6a";"60 km/h";"Dupla";"Faixa contínua";"";""
"1724";2020-02-24;"10:27:00";"SEM VÍTIMA";"FINALIZADA";"BOA VISTA";"RUA DO HOSPICIO";"33";"";"EDF SÃO RAFAEL";"BOA VISTA";"33";"";"COLISÃO TRASEIRA";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"R-6b";"30 km/h";"Única";"Não existe";"";""
"1725";2020-02-24;"11:16:00";"SEM VÍTIMA";"FINALIZADA";"PINA";"RUA MANOEL DE BRITO";"";"";"AO LADO DO POSTO POLICIAL";"PINA";NA;"CIDADE";"ABALROAMENTO TRANSVERSAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Outros";"Outras";"60 km/h";"Única";"Faixa contínua";"";""
"1726";2020-02-24;"12:28:00";"SEM VÍTIMA";"FINALIZADA";"SANTO AMARO";"AV GOVERNADOR AGAMENON MAGALHAES";"";"";"SEMÁFORO DE Nº 465";"SANTO AMARO";"465";"";"COLISÃO TRASEIRA";3;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"";"60 km/h";"Dupla";"Canal";"";""
"1727";2020-02-24;"13:38:00";"COM VÍTIMA";"FINALIZADA";"IPUTINGA";"RUA BOM PASTOR";"670";"RUA MAURICEIA";"E/F MERCADINHO MERCOFRUIT";"IPUTINGA";"652";"SUBURBIO";"ABALROAMENTO LONGITUDINAL";NA;"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"Outras";"";"Dupla";"Faixa contínua";"";""
