"";"ano";"cod_municipio";"rd";"nm_municipio";"gre";"cod_escola";"nm_escola";"tp_escola";"p_em";"nota_lp";"nota_mt";"nota_saep";"idepe";"mat_3em";"tdi_3em";"TP_LOCALIZACAO";"IN_INTERNET";"IN_NOTURNO";"IN_EJA";"QT_MAT_BAS";"QT_MAT_MED_INT";"QT_MAT_BAS_FEM";"QT_MAT_BAS_MASC";"QT_MAT_BAS_BRANCA";"TX_MAT_MED_INT";"tratamento"
"1064";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124874;"ESCOLA MISSIONARIO SAO BENTO";"REGULAR";"0,65";"3,7";"3,52";"3,61";"2,35";NA;"88";"Urbana";1;1;1;1473;0;777;696;93;"0";0
"1065";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124904;"ESCOLA VILA DOS MILAGRES";"REGULAR";"0,57";"3,45";"3,41";"3,43";"1,96";NA;"67,9";"Urbana";1;1;1;810;0;400;410;15;"0";0
"1066";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124904;"ESCOLA VILA DOS MILAGRES";"REGULAR";"0,65";"3,09";"3,4";"3,25";"2,11";NA;"90,7";"Urbana";1;1;1;802;0;404;398;23;"0";0
"1067";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124920;"ESCOLA SAO FRANCISCO DE ASSIS";"REGULAR";"0,87";"3,52";"3,61";"3,56";"3,1";NA;"78";"Urbana";1;1;1;1198;0;649;549;37;"0";0
"1068";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124920;"ESCOLA SAO FRANCISCO DE ASSIS";"REGULAR";"0,65";"3,73";"3,79";"3,76";"2,44";NA;"69,6";"Urbana";1;1;1;1277;0;691;586;84;"0";0
"1069";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26125013;"ESCOLA GERCINO DE PONTES";"REGULAR";"0,71";"3,82";"3,96";"3,89";"2,77";NA;"46,6";"Urbana";1;1;0;733;0;381;352;18;"0";0
"1070";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26125013;"ESCOLA GERCINO DE PONTES";"REGULAR";"0,65";"2,85";"3,35";"3,1";"2,01";NA;"56,4";"Urbana";1;1;1;808;0;419;389;89;"0";0
"1071";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26125048;"ESCOLA JOAO BEZERRA";"REGULAR";"0,58";"3,25";"3,56";"3,4";"1,97";NA;"40,1";"Urbana";1;1;1;1795;0;841;954;191;"0";1
"1072";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26125048;"ESCOLA JOAO BEZERRA";"SEMI_INTEGRAL";"0,8";"3,41";"3,43";"3,42";"2,75";NA;"71,6";"Urbana";1;1;1;933;0;503;430;119;"0";1
"1073";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26125072;"ESCOLA LANDELINO ROCHA";"REGULAR";"0,65";"3,41";"3,42";"3,41";"2,21";NA;"80,9";"Urbana";1;1;1;431;0;228;203;68;"0";0
