ano;id;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2018;26105101;EREM;454,2578431;27,4;34,1;29,5;18,3;9,5;9,5;9,5;9,5
2018;26105195;EREM;494,8259091;17,3;28,8;16,8;0,7;6;7;6,9;4,5
2018;26105250;EREM;491,8551282;25,9;40,3;18,4;16;9,3;10;10;10
2018;26105314;EREM;498,865625;18,2;26,1;13,4;12,1;10;10;10;10
2018;26105519;Regular;480,4307823;40,2;49,4;38,3;30,2;4,3;4,3;4,3;4,3
2018;26105810;Privada;582,6433333;3,8;8,6;0;1,3;4,5;4,5;4,5;4,5
2018;26105837;EREM;472,1347015;19,3;36,9;12,9;1,3;9;8,8;9;9,3
2018;26106060;EREM;502,6940909;14,2;16,2;13,6;10,2;10;10;10;10
2018;26106159;Regular;471,012766;28,3;45,7;31,4;4,9;4,4;4,5;4,5;4,5
2018;26106388;EREM;513,8360656;11,8;11,9;12,1;11,2;10;10;10;10
2018;26106582;Regular;468,14375;48;53,3;50,6;35,9;4;4,1;3,9;3,9
2018;26106612;Regular;484,4059783;29,9;39,5;40,3;9,1;4,5;4,5;4,5;4,5
2018;26106698;Regular;488,8044118;35,8;51,5;29,5;24,6;3,3;3,3;3,3;3,3
2018;26106701;Regular;492,4302326;15;22,9;17,6;4,4;4,5;4,5;4,5;4,5
2018;26106728;Regular;473,1543367;50,6;70,9;45,9;29,4;4,3;4,3;4,3;4,3
2018;26106957;EREM;503,609127;16,6;20;20,4;8,2;10;10;10;10
2018;26107074;Regular;494,2016667;30,2;42,4;22,2;22,4;4,5;4,5;4,5;4,5
2018;26107082;Regular;487,7091463;41,4;51,6;39,3;24,6;4,5;4,5;4,5;4,5
2018;26107503;Privada;570,96125;9,3;10,4;7,3;10;4,5;4,5;4,5;4,5
2018;26107562;Regular;489,4276042;27,2;33,3;25,6;18,6;4,4;4,5;4,5;4,5
2018;26107570;EREM;497,0105556;24,9;36,7;25,6;13,8;9,5;9,5;9,5;9,5
2018;26107597;Regular;475,8908824;40,4;41,7;37;43;4,4;4,5;4,3;4,3
2018;26107600;Regular;487,624053;23;26,3;20,8;18,1;4,4;4,5;4,5;4,5
2018;26107651;Regular;495,772561;30,3;30,1;33,5;26,2;4,3;4,4;4,3;4,3
2018;26107678;Regular;515,8653226;14,3;17,4;14,9;10,5;4,4;4,3;4,4;4,4
2018;26107937;EREM;487,3526235;23,3;22,5;23,7;23,7;6,8;9,5;9,5;4,4
2018;26107945;EREM;493,7436813;8,4;2,9;11,6;11,5;9,5;9,5;9,5;9,5
2018;26108038;EREM;527,6761682;9,7;13,3;8,5;6,1;9,5;9,5;9,5;9,5
2018;26108046;Regular;475,6736486;46,9;47,7;50;42,2;4,5;4,5;4,5;4,5
2018;26108801;Regular;482,5085106;18,2;20,5;13,9;20,3;4,4;4,5;4,5;4,5
2018;26108925;Regular;495,5913636;33,4;49,4;29,7;15,3;4,5;4,5;4,5;4,5
2018;26109042;EREM;502,6305118;8,5;11,2;8,8;5;7,8;9,5;9,5;9,5
2018;26109115;Regular;499,0228571;30,3;41,2;29;13,4;4,4;4,5;4,3;4,5
2018;26109360;Regular;481,7388021;29,7;41,8;24,4;15,3;4,5;4,5;4,5;4,5
2018;26109441;EREM;484,1256579;11,4;20,7;7;6,7;9,5;9,5;9,5;9,5
2018;26109468;EREM;500,25625;14,8;20,6;12,7;6,8;9,5;9,5;9,5;9,5
2018;26109506;Regular;482,4994898;31,1;39,6;20;30,2;4,5;4,5;4,5;4,5
2018;26109964;Privada;566,0108108;4;7,3;3;0;5,8;5,8;5,8;5,8
2018;26110091;Privada;571,6741379;6,3;7,5;11,1;2,1;4,9;4,8;4,8;5,1
2018;26110130;Privada;555,8725;11,2;18,3;12,9;0;5,6;5,8;5,5;5,3
2018;26110199;EREM;483,577621;28,5;30,1;31,7;26,1;7;9,5;9,5;4,3
2018;26110229;Regular;496,0369565;34,8;45,5;23,5;33,8;4,5;4,5;4,5;4,5
2018;26110237;Regular;487,4269841;33,7;46,5;27,4;22,9;4,3;4,3;4,3;4,3
2018;26110245;EREM;512,2744048;17,8;19,7;19,6;14,4;8,9;10;10;10
2018;26110270;EREM;519,2060976;13,2;15,8;10,9;10,2;9;9,5;9,5;9,5
2018;26110504;Privada;520,0333333;6,5;4;2,6;12;4,9;4,9;4,9;4,9
2018;26110598;Privada;557,727907;10,4;14,8;9,5;7,4;5;5;4,8;5
2018;26110849;Regular;481,223913;32,7;40,1;31,7;21,9;4,3;4,4;4,3;4,2
2018;26110857;Regular;490,8928771;45,6;53,1;43;41,3;4,1;4,2;4,1;4,1
2018;26110881;EREM;530,161128;4,6;8,6;0,9;4,1;9,5;9,5;9,5;9,5
2018;26110970;Regular;489,8278846;28,3;31,7;32,2;19,3;4,4;4,4;4,5;4,5
2018;26110997;EREM;489,7715812;15,1;22,5;14;6,9;8,9;9,5;9,5;9,5
2018;26111012;EREM;509,6798077;9,5;10,9;11,9;5,3;9,1;9,5;8,2;9,5
2018;26111020;EREM;477,5445122;24,8;30,4;23,5;14,9;9,5;9,5;9,5;9,5
2018;26111071;Regular;500,3388889;22;28,1;21,7;15;4,1;4,3;4,3;4,2
2018;26111195;Regular;492,9031818;27,7;36,6;22,6;21,4;4,5;4,5;4,5;4,5
2018;26111209;EREM;489,8134868;32,5;17,6;28,2;44,9;7;9,5;9,5;4
2018;26111225;EREM;505,3375;10,4;11;8,2;12,9;9,5;9,5;9,5;9,5
2018;26111241;Regular;477,7026786;44;49,7;44,4;36,6;4,5;4,5;4,5;4,5
2018;26111268;Regular;493,0463415;48,5;50;50,3;45;4;4,3;4,2;4
2018;26111314;EREM;498,2483645;23,5;9,3;30,2;22,8;5,5;9,5;4,5;4,5
2018;26111349;Regular;476,9777174;42,2;42;40,1;45,4;4,1;4,3;4,2;3,9
2018;26111357;Regular;489,858046;31,4;34,6;31,6;26;4,4;4,5;4,3;4,2
2018;26111403;EREM;510,3666667;26;25,4;27,5;24,7;9,2;8,7;9,5;9,5
2018;26111411;Regular;483,1915;48,1;47,4;50,5;45,8;4,1;4,3;4,1;3,8
2018;26111853;Regular;481,05;30,5;41,9;28,1;15,4;4,3;4,3;4,2;4,3
2018;26111870;EREM;487,853;13,7;20,2;11,1;8,7;9,5;9,5;9,5;9,5
2018;26111926;EREM;462,8860169;11,4;1,7;18,4;12,3;6;9,5;4,5;4,5
2018;26112108;EREM;508,9402778;14,9;17,2;15,5;11;9,5;9,5;9,5;9,5
2018;26112680;Privada;585,5530612;4,5;6,5;2,7;3,9;6;6;6;6
2018;26112701;EREM;518,5717033;13,8;19,5;13,5;8;9;10;10;10
2018;26113198;Regular;488,0295455;31,3;47,1;29,8;14,8;4,5;4,5;4,5;4,5
2018;26113210;Regular;474,6896429;38,6;41,5;44,9;26,4;4,4;4,5;4,5;4,5
2018;26113236;Regular;494,9054598;53,6;61,9;54,9;39,9;4,3;4,2;4,3;4,2
2018;26113392;EREM;501,5861111;17,6;20,6;16,7;15,3;9,5;9,5;9,5;9,5
2018;26113538;EREM;475,6;36,4;41,4;40,9;25;5,6;10;4,5;4,5
2018;26113635;Regular;493,3601351;41,4;54,5;31,1;42;4,5;4,5;4,5;4,5
2018;26113724;Regular;471,343125;32,7;38;29,2;25,5;4,3;4,1;4,5;4,5
2018;26113783;EREM;475,4671875;16,7;16,9;17,3;15,6;7;7;7;7
2018;26113805;EREM;503,1732843;30,9;36,8;25,8;30,5;5,3;7;4,5;4,5
2018;26113813;Regular;490,8171296;55,9;51,5;50;50,8;4,2;4,5;4,5;4,1
2018;26113929;Regular;471,1811404;56,6;66,4;56,6;36,8;4,1;4,1;4,1;4,1
2018;26113953;EREM;511,1726852;22,7;31,6;20,7;5,8;7;7;7;7
2018;26114607;Regular;480,9345588;31,7;33,3;26,9;36,2;4,2;4,5;4,5;4,5
2018;26114720;EREM;519,8197761;13,5;15,3;16,2;6,8;10;10;10;10
2018;26114860;Regular;490,8505102;43,5;51,2;48,8;22,4;4,5;4,5;4,5;4,5
2018;26115441;Privada;566,5854839;5,9;7,5;5,2;0;4,8;4,8;4,8;4,8
2018;26115883;EREM;512,9107143;11,5;12,6;13,5;7,7;6,3;7;7;4,5
2018;26115913;Regular;480,2376582;33,1;49,4;20,7;21,1;4,3;4,3;4,4;4,3
2018;26115999;EREM;492,25625;21,6;25,5;21,1;16,3;10;10;10;10
2018;26116014;EREM;481,8777027;24,7;35,3;22,4;10,8;10;10;10;10
2018;26116308;Regular;491,2398305;30,2;39,4;29,1;19,5;4,5;4,5;4,5;4,5
2018;26116316;EREM;513,8848837;9,5;14,4;8,1;4,2;10;10;10;10
2018;26116324;EREM;505,6339869;11,8;16,9;9;9;10;10;10;10
2018;26116359;Regular;481,2286667;40,7;53,7;37;22,7;4,2;4,3;4,2;4,1
2018;26116367;Regular;482,5105556;29,6;39,3;29,3;16,5;4,5;4,5;4,5;4,5
2018;26116383;Regular;482,856875;29,5;39,3;27,5;14,1;4,4;4,5;4,5;4,5
2018;26116391;Regular;479,5375;32,7;47,3;24,4;25,8;4,5;4,5;4,5;4,5
2018;26116413;Regular;480,509127;23,2;36,6;14,8;12;4,5;4,5;4,5;4,5
2018;26116499;Privada;560,1151515;7,2;10,3;8,6;2,7;5,3;5,3;5,3;5,3
2018;26116634;EREM;490,1522727;20,9;29,4;23,8;13,8;10;10;10;10
2018;26117045;Regular;498,8918571;24,6;33,6;25,9;13,3;4,5;4,5;4,5;4,5
2018;26117258;Regular;485,7610656;31,2;40,6;28,2;26,1;4,2;4,3;4,2;4,2
2018;26117290;EREM;517,3263158;12,6;17,5;9,3;10,8;9,5;9,5;9,5;9,5
