"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"103","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"104","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"105","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"106","EREM","Urbana","N4","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"107","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"108","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"109","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"110","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"111","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"112","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"113","EREM","Urbana","N2","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"114","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"115","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"116","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"117","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"118","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"119","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"120","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"121","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[5.4,9.5)","[2.7,5)"
"122","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"123","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[5,33.2]"
"124","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"125","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"126","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[0,2.7)"
"127","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[0,2.7)"
"128","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"129","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[5,33.2]"
"130","EREM","Urbana","N4","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[2.7,5)"
