ANO;ID;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2019;26040948;EREM;462,8867347;24,8;28;27,3;17,5;9,5;9,5;9,5;9,5
2019;26042053;EREM;473,2446809;14,8;19,8;10,8;13,2;10,5;10,5;10,5;10,5
2019;26042070;EREM;499,0809524;7,2;7,3;8,7;5,1;9,5;9,5;9,5;9,5
2019;26043335;EREM;460,2388889;5,9;7,7;2,2;11,1;9,5;9,5;9,5;9,5
2019;26044412;Regular;453,5383065;38,6;47;36;29;4,2;4,2;4,2;4,2
2019;26044862;EREM;468,1334459;24,3;22;22,6;29,4;9,5;9,5;9,5;9,5
2019;26047187;EREM;479,5030612;24;27,6;23,3;18,9;9,5;9,5;9,5;9,5
2019;26047837;EREM;446,50625;29,2;30,3;26,7;31,3;9,5;9,5;9,5;9,5
2019;26048337;EREM;467,96875;31,8;32,8;31,7;30,7;8,7;9,5;9,5;9,5
2019;26049406;EREM;477,4462121;14,3;15,5;13,9;13,3;9,1;9,5;9,5;9,5
2019;26049562;EREM;455,7561321;36,2;40;40,9;27,5;8;9,5;9,5;9,5
2019;26050030;Federal;503,4941176;26,1;28,3;25;24,2;10,3;10,3;10,3;10,3
2019;26050064;Regular;468,5922222;64,7;73,5;66,2;53,2;3,8;3,7;3,8;3,8
2019;26050102;EREM;466,8045455;31,3;33,9;35;21,5;9,5;9,5;9,5;9,5
2019;26051176;EREM;471,9754464;25,7;37,1;22,6;19,6;5,2;7;4,5;4,5
2019;26051737;Regular;469,9675926;35,6;36,5;38,5;32,4;4,3;4,5;4,5;4,3
2019;26051761;EREM;484,3579268;22,4;26,4;23,1;10,9;9,5;9,5;9,5;9,5
2019;26052083;EREM;478,0535714;23,8;28,9;22,2;19,1;7,1;6,9;7,5;7,2
2019;26052776;EREM;501,6477273;21,9;28,9;23,4;7;9,5;9,5;9,5;9,5
2019;26053608;EREM;468,9664706;26,4;27,6;37,5;20,2;9,4;9,5;9,5;9,2
2019;26053837;Privada;616,5338362;2;4,2;0,7;1,3;6,2;6,2;6,2;6,2
2019;26053845;EREM;494,98225;20,4;28,1;19,4;7,7;9,5;9,5;9,5;9,5
2019;26053853;EREM;499,7135417;13,3;12;18,2;11,8;9,5;9,5;9,5;9,5
2019;26053993;Privada;537,1554688;7,3;5,3;9,6;6,6;5,6;5,6;5,6;5,6
2019;26054027;EREM;518,7974359;10,8;11,8;9,4;11,4;9,5;9,5;9,5;9,5
2019;26054043;EREM;518,1712121;8,8;12,5;9,5;4,3;9,5;9,5;9,5;9,5
2019;26054060;Regular;488,3;51;58,7;48,7;45,7;4,1;4,6;4;3,8
2019;26054140;EREM;514,9497159;21,8;32;18,9;4,4;9,5;9,5;9,5;9,5
2019;26054809;EREM;500,7219444;15,6;19,6;17;6,7;9,5;9,5;9,5;9,5
2019;26054825;Regular;474,9234756;45,4;53,9;43;37,1;4,3;4,8;4,1;4
2019;26054850;Regular;474,3521739;44,4;58,2;43,8;29,1;4,1;4,1;4,2;4,1
2019;26054876;EREM;479,4138889;29,1;27,2;35,8;27,2;6;9,5;7,2;4,3
2019;26054884;Regular;477,9321429;34;42,7;26,1;28,8;4,5;4,5;4,5;4,5
2019;26054914;Regular;476,3278302;36,1;49,8;31,4;23,4;4,3;4,3;4,3;4,3
2019;26055082;EREM;493,1858553;19,4;31,7;8,7;8,9;9,5;9,5;9,5;9,5
2019;26055210;Regular;476,6716667;51,2;60,2;50,5;38,4;3,8;3,9;4;3,8
2019;26055686;Privada;533,5051471;5,4;5,6;13;1,9;5,3;5,3;5,3;5,3
2019;26056550;Regular;456,5583333;49;58,1;47,5;37,6;4,4;4,5;4,3;4,3
2019;26056577;EREM;477,2915493;18,3;24;23,4;7;9,5;9,5;9,5;9,5
2019;26056623;EREM;464,9131148;23,3;27,7;17;24;9,5;9,5;9,5;9,5
2019;26056658;EREM;472,2431298;23,9;27;21,6;22,6;9,5;9,5;9,5;9,5
2019;26057506;Privada;540,1645833;4,7;0;6,5;7,5;5,8;5,8;5,8;5,8
2019;26057743;EREM;479,5455357;22,4;27,1;13,5;27,6;9,5;9,5;9,5;9,5
