cod_escola;tp_escola;tp_localizacao;idepe;p_em;nota_lp;nota_mt;nota_saep;in_internet;in_noturno;in_eja;qt_mat_bas;tx_mat_med_int;tx_mat_bas_fem;tx_mat_bas_branca;inse;mha_em;tdi_em
26039770;SEMI_INTEGRAL;Urbana;4,99;1;5,09;4,89;4,99;1;1;1;341;0,08;0,454545455;0,046920821;4,45;5,5;56,1
26050102;SEMI_INTEGRAL;Urbana;5,1;0,96;5,1;5,52;5,31;1;1;1;548;0,58;0,563868613;0,171532847;4,05;9,5;31,3
26025876;SEMI_INTEGRAL;Urbana;4,9;0,96;4,79;5,48;5,14;1;1;0;508;0,81;0,551181102;0,131889764;3,94;8,3;31,7
26051176;SEMI_INTEGRAL;Urbana;3,88;0,82;4,87;4,64;4,75;1;1;1;1001;0,09;0,516483516;0,277722278;4,29;5,2;25,7
26001942;SEMI_INTEGRAL;Urbana;5,53;0,92;5,75;6,2;5,98;1;1;0;295;0,83;0,555932203;0,159322034;4,54;8,5;8,9
26067382;SEMI_INTEGRAL;Rural;5,2;0,95;5,31;5,63;5,47;1;0;0;359;1;0,498607242;0,370473538;4,1;9,5;23,1
26073102;SEMI_INTEGRAL;Urbana;5,46;0,96;5,25;6,1;5,68;1;1;1;435;0,78;0,524137931;0,264367816;3,92;10;30,6
26015315;SEMI_INTEGRAL;Urbana;5,04;0,93;5,25;5,54;5,39;1;1;1;373;0,75;0,536193029;0,008042895;4,05;9;16,8
26052083;SEMI_INTEGRAL;Urbana;4,23;0,9;4,57;4,82;4,69;1;1;1;1218;0,46;0,52545156;0,089490969;4,1;7,1;23,8
26087375;SEMI_INTEGRAL;Urbana;5,08;1;4,72;5,46;5,09;1;1;1;436;0,77;0,509174312;0,061926606;4,08;8,7;17,5
26045656;SEMI_INTEGRAL;Urbana;5,04;0,99;4,57;5,57;5,07;1;1;1;494;0,75;0,54048583;0,064777328;3,62;9,5;40,5
26130114;SEMI_INTEGRAL;Urbana;5,01;0,99;5,27;4,89;5,08;1;0;0;465;1;0,513978495;0,070967742;4,92;9,5;17
26130203;SEMI_INTEGRAL;Urbana;5,03;0,96;5,13;5,39;5,26;1;0;0;339;1;0,536873156;0,05899705;4,47;9,5;20,9
26130521;SEMI_INTEGRAL;Urbana;4,56;0,98;4,81;4,51;4,66;1;0;0;221;1;0,556561086;0,022624434;4,3;9,5;24,4
26052776;SEMI_INTEGRAL;Urbana;4,55;0,83;5,31;5,67;5,49;1;1;1;721;0,75;0,536754508;0,313453537;4,04;9,5;21,9
26073498;SEMI_INTEGRAL;Urbana;4,68;0,94;4,73;5,23;4,98;1;1;1;1383;0,39;0,539407086;0,348517715;4,02;7,2;29,4
26074079;SEMI_INTEGRAL;Urbana;4,49;0,94;4,44;5,08;4,76;1;1;1;415;0,68;0,54939759;0,262650602;3,85;8,4;25,5
26015625;SEMI_INTEGRAL;Urbana;4,84;0,96;4,91;5,19;5,05;1;1;1;340;0,66;0,535294118;0,126470588;3,83;9,5;21,8
26107570;SEMI_INTEGRAL;Urbana;4,73;0,92;5,3;4,96;5,13;1;1;1;384;0,42;0,5625;0,065104167;4,32;7;23,9
26107945;SEMI_INTEGRAL;Urbana;4,45;0,94;4,77;4,72;4,75;1;0;0;470;1;0,538297872;0,195744681;4,54;9,5;7,2
26083639;SEMI_INTEGRAL;Urbana;5,51;0,96;5,34;6,1;5,72;1;1;1;486;0,72;0,53909465;0,240740741;3,84;9,5;28,5
26087715;SEMI_INTEGRAL;Urbana;4,43;0,93;4,64;4,87;4,75;1;1;1;343;0,82;0,524781341;0,247813411;3,98;10;35,2
26053608;SEMI_INTEGRAL;Urbana;4,12;0,93;4,59;4,27;4,43;1;1;1;768;0,7;0,5078125;0,4921875;3,99;9,4;26,4
26040280;SEMI_INTEGRAL;Urbana;5,52;0,91;5,4;6,7;6,05;1;1;1;213;0,76;0,572769953;0,103286385;3,83;10;31,7
26087910;SEMI_INTEGRAL;Urbana;5,74;1;5,41;6,12;5,76;1;0;0;673;0,95;0,505200594;0,175334324;4,28;9,5;24,8
26053845;SEMI_INTEGRAL;Urbana;5,08;0,97;5,4;5,11;5,25;1;1;1;833;0,76;0,542617047;0,181272509;4,57;9,5;20,4
26054140;SEMI_INTEGRAL;Urbana;4,56;0,88;5,37;5,05;5,21;1;1;1;777;0,73;0,516087516;0,301158301;4,76;9,5;21,8
26054809;SEMI_INTEGRAL;Urbana;4,77;0,98;4,99;4,79;4,89;1;1;1;634;0,79;0,589905363;0,264984227;4,68;9,5;15,6
